Index,Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices,MinPriceUSD,MaxPriceUSD,Country,AveragePrice
1833,Virtuoso Gourmet - Tenuta Le Tre Virtù,"località Lucigliano 13, San Piero a Sieve, 50037, Italy",San Piero a Sieve,90,150,EUR,"Tuscan, Regional Cuisine",11.30325,43.99314,3.91E+11,https://guide.michelin.com/en/toscana/san-piero-a-sieve/restaurant/virtuoso-tenuta-le-tre-virtu,https://www.tenutaletrevirtu.it/fr/,1 Star,"Air conditioning,American Express credit card,Booking essential,Car park,Credit card / Debit card accepted,Diners Club credit card,Garden or park,Great view,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card",90.06,150.1,Italy,120.08
1924,La Rucola 2.0,"vicolo Strentelle 3, Sirmione, 25019, Italy",Sirmione,90,150,EUR,"Creative, Contemporary",10.6081306,45.4928374,39030916326,https://guide.michelin.com/en/lombardia/sirmione/restaurant/la-rucola-2-0,https://www.ristorantelarucola.it/,1 Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",90.06,150.1,Italy,120.08
1953,Matteo Grandi,"piazza dei Signori 1, Vicenza, 36100, Italy",Vicenza,90,150,EUR,"Creative, Contemporary",11.5459015,45.547245,3.93E+11,https://guide.michelin.com/en/veneto/vicenza/restaurant/matteo-grandi,https://www.ristorantematteograndi.it,1 Star,"Air conditioning,American Express credit card,Booking essential,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",90.06,150.1,Italy,120.08
2098,Palazzo Petrucci,"via Posillipo 16 b/c, Naples, 80133, Italy",Naples,90,150,EUR,Creative,14.2145667,40.8215016,3.91E+11,https://guide.michelin.com/en/campania/napoli/restaurant/palazzo-petrucci,http://www.palazzopetrucci.it/,1 Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Great view,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",90.06,150.1,Italy,120.08
344,Miramonti l'Altro,"via Crosette 34, località Costorio, Concesio, 25062, Italy",Concesio,90,160,EUR,"Modern Cuisine, Contemporary",10.2043986,45.6135819,3.9E+11,https://guide.michelin.com/en/lombardia/concesio/restaurant/miramonti-l-altro,https://www.miramontilaltro.it/,2 Stars,"Air conditioning,American Express credit card,Booking essential,Car park,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card",90.06,160.11,Italy,125.085
684,La Dame de Pic,"20 rue du Louvre, Paris, 75001, France",Paris,90,165,EUR,Creative,2.3412069,48.8613303,33142604040,https://guide.michelin.com/en/ile-de-france/paris/restaurant/la-dame-de-pic369441,https://anne-sophie-pic.com/,1 Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Restaurant offering vegetarian menus,Visa credit card,Wheelchair access",90.06,165.12,France,127.59
1709,Zuberoa,"Plaza Bekosoro 1, Oiartzun, 20180, Spain",Oiartzun,90,165,EUR,Classic Cuisine,-1.8662787,43.2931162,34943491228,https://guide.michelin.com/en/pais-vasco/oiartzun/restaurant/zuberoa,http://www.zuberoa.com,1 Star,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card",90.06,165.12,Spain,127.59
1395,Koch und Kellner,"Obere Seitenstraße 4, Nuremberg, 90429, Germany",Nuremberg,90,170,EUR,"Modern Cuisine, International",11.0568482,49.4491097,49911266166,https://guide.michelin.com/en/bayern/nurnberg/restaurant/koch-und-kellner,https://www.kochundkellner.de/,1 Star,"American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card",90.06,170.12,Germany,130.09
1639,Antiqvvm,"Rua de Entre Quintas 220, Porto, 4050-240, Portugal",Porto,90,170,EUR,Creative,-8.62831,41.14776,3.51E+11,https://guide.michelin.com/en/porto-region/porto/restaurant/antiqvvm,http://www.antiqvvm.pt,1 Star,"Air conditioning,Car park,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card",90.06,170.12,Portugal,130.09
512,Beluga Loves You,"Plein 1992 nr 12, Maastricht, 6221 JP, Netherlands",Maastricht,90,180,EUR,Creative,5.6990715,50.8462005,31433213364,https://guide.michelin.com/en/limburg/maastricht/restaurant/beluga-loves-you,https://belugalovesyou.com/,1 Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Great view,Mastercard credit card,Particularly interesting wine list,Visa credit card",90.06,180.13,Netherlands,135.095
